site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
betbaba,7534790,2.05,87,support@bettingtipsnet.com,free,11:10:25,2026-05-13,202884803,,,
betbaba,7535384,2.5,70,support@bettingtipsnet.com,free,11:10:25,2026-05-13,152804168,,,
betway:za,BW55B2F2DD,22.54,92,support@bettingtipsnet.com,free,11:10:25,2026-05-13,24300554,,0xFF000000,
1xbet:ng,P1YR7,17.64,92,support@bettingtipsnet.com,free,11:10:25,2026-05-13,67364495,,0xFF0982EC,
betway:za,BW55B2F2DD,22.59,85,support@bettingtipsnet.com,free,11:10:25,2026-05-13,325420588,,0xFF000000,
winwin,VRKP7,182.88,65,support@bettingtipsnet.com,free,11:10:25,2026-05-13,272939271,,,
1xbet:ng,RPSR7,5.88,75,support@bettingtipsnet.com,free,11:10:25,2026-05-13,111626114,,0xFF0982EC,
1xbet:ng,RPSR7,5.81,65,support@bettingtipsnet.com,free,11:10:25,2026-05-13,282229246,,0xFF0982EC,
1xbet:ng,RPSR7,6.14,87,support@bettingtipsnet.com,free,11:10:25,2026-05-13,264082545,,0xFF0982EC,
bet9ja,5dvlvf6,48.03,75,support@bettingtipsnet.com,free,11:10:25,2026-05-13,5248531,,0xFF097E36,
1xbet:ng,RPSR7,6.08,85,support@bettingtipsnet.com,free,11:10:25,2026-05-13,12924415,,0xFF0982EC,
afropari,H55Q7,3.79,55,support@bettingtipsnet.com,free,11:10:25,2026-05-13,317276859,,,
bet9ja,5DXXQ38,4126.17,55,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,327509443,,0xFF097E36,
linebet,Z1pr7,2.57,85,support@bettingtipsnet.com,free,11:10:25,2026-05-13,92990373,,0xFF2E5822,
1xbet:ng,7GDP7,701.06,75,support@bettingtipsnet.com,free,11:10:25,2026-05-13,230432449,,0xFF0982EC,
1xbet:ng,ENL67,479.9,65,support@bettingtipsnet.com,free,11:10:25,2026-05-13,189347314,,0xFF0982EC,
afropari,KG3R7,62.44,80,support@bettingtipsnet.com,free,11:10:25,2026-05-13,20419887,,,
1xbet:ng,4VEM7,450.62,75,support@bettingtipsnet.com,free,11:10:25,2026-05-13,207570832,,0xFF0982EC,
afropari,JPT57,44.71,87,support@bettingtipsnet.com,free,11:10:25,2026-05-13,250019731,,,
paripesa,SLHP7,49.47,80,support@bettingtipsnet.com,free,11:10:25,2026-05-13,150515008,,0xFF05117E,
fansport,Ld2q7,1178.95,80,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,128004010,,,
linebet,Blpp7,30.5,65,support@bettingtipsnet.com,free,11:10:25,2026-05-13,280544035,,0xFF2E5822,
paripesa,Kxbq7,5,55,support@bettingtipsnet.com,free,11:10:25,2026-05-13,80242116,,0xFF05117E,
fansport,838p7,21806.56,85,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,257026906,,,
fansport,838p7,21806.18,85,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,194546419,,,
betpawa,X2YRR0B,9.52,80,support@bettingtipsnet.com,free,11:10:25,2026-05-13,123576128,,,
fansport,838P7,21224.91,75,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,61424290,,,
betbaba,7534790,2.05,55,support@bettingtipsnet.com,free,11:10:25,2026-05-13,318525537,,,
betbaba,7535384,2.5,80,support@bettingtipsnet.com,free,11:10:25,2026-05-13,208225579,,,
linebet,Blpp7,30.23,80,support@bettingtipsnet.com,free,11:10:25,2026-05-13,113782763,,0xFF2E5822,
paripesa,Kxbq7,4.41,92,support@bettingtipsnet.com,free,11:10:25,2026-05-13,273475532,,0xFF05117E,
fansport,838p7,21805.94,80,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,322555781,,,
fansport,838p7,21806.41,65,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,50840126,,,
betpawa,X2YRR0B,9.1,92,support@bettingtipsnet.com,free,11:10:25,2026-05-13,268372254,,,
fansport,838P7,21224.78,87,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,310403624,,,
fansport,LD2Q7,1178.91,55,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,208153519,,,
football,ZD3Q7F,1096.39,70,support@bettingtipsnet.com,premium,11:10:25,2026-05-13,171167862,,,
paripesa,5XZ67,91.98,87,support@bettingtipsnet.com,free,11:10:25,2026-05-13,52987453,,0xFF05117E,
1xbet:ng,ENL67,499.29,75,support@bettingtipsnet.com,free,11:10:25,2026-05-13,181660173,,0xFF0982EC,
bet9ja,5DXR5VT,50.04,80,support@bettingtipsnet.com,free,11:10:25,2026-05-13,288647893,,0xFF097E36,
bet9ja,5DXQ65V,75.45,87,support@bettingtipsnet.com,free,11:10:25,2026-05-13,246515911,,0xFF097E36,
bet9ja,5DXVD3G,11.31,85,support@bettingtipsnet.com,free,11:10:25,2026-05-13,77227128,,0xFF097E36,
bet9ja,5DXV5TW,367.63,70,support@bettingtipsnet.com,free,11:10:25,2026-05-13,268444663,,0xFF097E36,
sportybet:ng,TLNWLA,116.26,80,support@bettingtipsnet.com,free,11:10:25,2026-05-13,148578642,,0xFFFA0909,
bet9ja,5DXV5TW,367.7,87,support@bettingtipsnet.com,free,11:10:25,2026-05-13,35087894,,0xFF097E36,
luckypari,L1557,144.16,65,support@bettingtipsnet.com,free,11:10:25,2026-05-13,278930962,,,
1xbet:ng,R4U67,3.12,55,support@bettingtipsnet.com,free,11:10:25,2026-05-13,318859650,,0xFF0982EC,
1xbet:ng,8E767,3.31,65,support@bettingtipsnet.com,free,11:10:25,2026-05-13,201754305,,0xFF0982EC,
1xbet:ng,EZR67,3.87,75,support@bettingtipsnet.com,free,11:10:25,2026-05-13,167632680,,0xFF0982EC,
1xbet:ng,EZR67,3.41,70,support@bettingtipsnet.com,free,11:10:25,2026-05-13,150975551,,0xFF0982EC,
