site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
football,X30D6DD9,770.39,85,support@bettingtipsnet.com,free,10:59:54,2026-06-20,203614779,,,
888starz,EECAM,16.4,85,support@bettingtipsnet.com,free,10:59:54,2026-06-20,233298246,,,
bet9ja:ng,5HSGWFX,1079.03,80,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,172093747,,0xFF097E36,
db_bet:ng,J5SPL,418094.03,92,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,212849687,,0xFFFF5275,
bet9ja:ng,5HSH77Z,1669.04,80,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,3575002,,0xFF097E36,
betwinner:ng,UTLAM,21791.61,85,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,26934524,,0xFF1A654A,
msport:ng,B2K1UC3,20.91,80,support@bettingtipsnet.com,free,10:59:54,2026-06-20,79699778,,0xFFFFCA26,
megapari,Y6C5L,8.21,55,support@bettingtipsnet.com,free,10:59:54,2026-06-20,32284499,,0xFF383838,
football,X3ABA5F5,97.21,65,support@bettingtipsnet.com,free,10:59:54,2026-06-20,152881224,,,
paripesa:ng,GB3AM,13.87,80,support@bettingtipsnet.com,free,10:59:54,2026-06-20,153898405,,0xFF05117E,
sportybet:ng,KZG0E0,10.5,80,support@bettingtipsnet.com,free,10:59:54,2026-06-20,223746038,,0xFFFA0909,
luckypari,4ZZ1M,18.04,92,support@bettingtipsnet.com,free,10:59:54,2026-06-20,56883616,,,
1xbet:ng,JKY1M,158.89,85,support@bettingtipsnet.com,free,10:59:54,2026-06-20,145230958,,0xFF0982EC,
22bet,5UQ1M,3855.31,65,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,228936976,,0xFF064146,
paripesa:ng,AZL1M,3.2,85,support@bettingtipsnet.com,free,10:59:54,2026-06-20,325561026,,0xFF05117E,
1xbet:ng,2pgzl,3715.96,87,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,217590542,,0xFF0982EC,
paripesa:ng,N131M,4.86,75,support@bettingtipsnet.com,free,10:59:54,2026-06-20,102349689,,0xFF05117E,
bet9ja:ng,5hshchr,22.62,85,support@bettingtipsnet.com,free,10:59:54,2026-06-20,30269826,,0xFF097E36,
paripesa:ng,PF89L,3.24,80,support@bettingtipsnet.com,free,10:59:54,2026-06-20,116755866,,0xFF05117E,
1xbet:ng,9599L,4.61,75,support@bettingtipsnet.com,free,10:59:54,2026-06-20,45891723,,0xFF0982EC,
bet9ja:ng,5HSG9P9,1.87,65,support@bettingtipsnet.com,free,10:59:54,2026-06-20,311961518,,0xFF097E36,
1xbet:ng,SAC1M,1.8,85,support@bettingtipsnet.com,free,10:59:54,2026-06-20,293968453,,0xFF0982EC,
bet9ja:ng,5HSFVVV,1.75,65,support@bettingtipsnet.com,free,10:59:54,2026-06-20,151308689,,0xFF097E36,
sportybet:ng,VCWPC6,2262.06,80,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,161482255,,0xFFFA0909,
paripesa:ng,ES59L,4.56,92,support@bettingtipsnet.com,free,10:59:54,2026-06-20,82429475,,0xFF05117E,
paripesa:ng,Mu39l,2288.89,92,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,266423006,,0xFF05117E,
1xbet:ng,2J59L,2288.89,87,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,2214575,,0xFF0982EC,
1xbet:ng,Spa9l,387.37,85,support@bettingtipsnet.com,free,10:59:54,2026-06-20,53325699,,0xFF0982EC,
1xbet:ng,J819L,4260.56,80,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,303949547,,0xFF0982EC,
db_bet:ng,9415L,3449.75,80,support@bettingtipsnet.com,premium,10:59:54,2026-06-20,219668039,,0xFFFF5275,
msport:ng,B2JS1HU,291.09,80,support@bettingtipsnet.com,free,10:59:54,2026-06-20,153964155,,0xFFFFCA26,
