fixture_id,league,league_logo,league_country,date,match_time,match_datetime,home_team,home_logo,away_team,away_logo,home_score,away_score,status,elapsed,extra,prediction,odd,source
1545258,Friendlies,https://media.api-sports.io/football/leagues/10.png,World,2026-05-19,,2026-05-19 07:30:00+00:00,Turkmenistan U20,https://media.api-sports.io/football/teams/25112.png,Uzbekistan U20,https://media.api-sports.io/football/teams/21061.png,0,0,NS,,,AWAY DC,1.28,pro_tips
1527304,South Australia State League 1,https://media.api-sports.io/football/leagues/834.png,Australia,2026-05-19,,2026-05-19 09:30:00+00:00,Adelaide Cobras,https://media.api-sports.io/football/teams/16763.png,Modbury Jets,https://media.api-sports.io/football/teams/10010.png,0,0,SUSP,,,AWAY DC,1.67,pro_tips
1521364,Indian Super League,https://media.api-sports.io/football/leagues/323.png,India,2026-05-19,,2026-05-19 11:30:00+00:00,NorthEast United,https://media.api-sports.io/football/teams/3479.png,Mohammedan,https://media.api-sports.io/football/teams/15585.png,0,0,NS,,,HOME DC,1.25,pro_tips
1523157,Super League,https://media.api-sports.io/football/leagues/169.png,China,2026-05-19,,2026-05-19 12:00:00+00:00,Chengdu Better City,https://media.api-sports.io/football/teams/5648.png,SHANGHAI SIPG,https://media.api-sports.io/football/teams/836.png,0,0,NS,,,HOME DC,1.5,pro_tips
1523158,Super League,https://media.api-sports.io/football/leagues/169.png,China,2026-05-19,,2026-05-19 12:00:00+00:00,Qingdao Youth Island,https://media.api-sports.io/football/teams/17265.png,Beijing Guoan,https://media.api-sports.io/football/teams/830.png,0,0,NS,,,AWAY DC,1.96,pro_tips
1545259,Friendlies,https://media.api-sports.io/football/leagues/10.png,World,2026-05-19,,2026-05-19 12:00:00+00:00,Tajikistan U20,https://media.api-sports.io/football/teams/21060.png,Kyrgyz Republic U20,https://media.api-sports.io/football/teams/21058.png,0,0,NS,,,HOME DC,2.44,pro_tips
1545132,I-League,https://media.api-sports.io/football/leagues/324.png,India,2026-05-19,,2026-05-19 13:00:00+00:00,Rajasthan United,https://media.api-sports.io/football/teams/18009.png,Chanmari,https://media.api-sports.io/football/teams/25923.png,0,0,NS,,,HOME DC,1.73,pro_tips
1541912,Liga Leumit,https://media.api-sports.io/football/leagues/382.png,Israel,2026-05-19,,2026-05-19 16:00:00+00:00,Maccabi Kabilio Jaffa,https://media.api-sports.io/football/teams/6192.png,Hapoel Afula,https://media.api-sports.io/football/teams/4483.png,0,0,NS,,,HOME DC,2.21,pro_tips
1543349,Cup,https://media.api-sports.io/football/leagues/661.png,Lithuania,2026-05-19,,2026-05-19 16:00:00+00:00,BFA,https://media.api-sports.io/football/teams/3857.png,Garliava,https://media.api-sports.io/football/teams/16674.png,0,0,NS,,,AWAY DC,2.21,pro_tips
1540827,Première Division,https://media.api-sports.io/football/leagues/598.png,Mali,2026-05-19,,2026-05-19 16:30:00+00:00,Derby Academie,https://media.api-sports.io/football/teams/27223.png,Onze Créateurs,https://media.api-sports.io/football/teams/8093.png,0,0,NS,,,HOME DC,2.31,pro_tips
1545407,Bundesliga,https://media.api-sports.io/football/leagues/218.png,Austria,2026-05-19,,2026-05-19 16:30:00+00:00,Ried,https://media.api-sports.io/football/teams/1028.png,Wolfsberger AC,https://media.api-sports.io/football/teams/1025.png,0,0,NS,,,HOME DC,2.31,pro_tips
1513476,Ligue 1,https://media.api-sports.io/football/leagues/186.png,Algeria,2026-05-19,,2026-05-19 16:45:00+00:00,CS Constantine,https://media.api-sports.io/football/teams/911.png,Khenchela,https://media.api-sports.io/football/teams/10752.png,0,0,NS,,,HOME DC,1.6,pro_tips
1497337,3. Division - Girone 6,https://media.api-sports.io/football/leagues/779.png,Norway,2026-05-19,,2026-05-19 17:00:00+00:00,Sarpsborg 08 II,https://media.api-sports.io/football/teams/16215.png,Lyn II,https://media.api-sports.io/football/teams/25499.png,0,0,NS,,,HOME DC,2.01,pro_tips
1497570,Superettan,https://media.api-sports.io/football/leagues/114.png,Sweden,2026-05-19,,2026-05-19 17:00:00+00:00,Helsingborg,https://media.api-sports.io/football/teams/811.png,Varbergs BoIS FC,https://media.api-sports.io/football/teams/2171.png,0,0,NS,,,AWAY DC,2.44,pro_tips
1543351,Cup,https://media.api-sports.io/football/leagues/661.png,Lithuania,2026-05-19,,2026-05-19 17:00:00+00:00,Pempininkai Gargždai,https://media.api-sports.io/football/teams/26030.png,Minija,https://media.api-sports.io/football/teams/3864.png,0,0,NS,,,AWAY DC,1.03,pro_tips
1543352,Cup,https://media.api-sports.io/football/leagues/661.png,Lithuania,2026-05-19,,2026-05-19 17:00:00+00:00,FK Trakai,https://media.api-sports.io/football/teams/638.png,Kauno Žalgiris,https://media.api-sports.io/football/teams/3872.png,0,0,NS,,,AWAY DC,1.18,pro_tips
1545003,Iraqi League,https://media.api-sports.io/football/leagues/542.png,Iraq,2026-05-19,,2026-05-19 17:00:00+00:00,Naft,https://media.api-sports.io/football/teams/11071.png,Duhok,https://media.api-sports.io/football/teams/20463.png,0,0,NS,,,HOME DC,2.41,pro_tips
1540724,Ligat Ha'al,https://media.api-sports.io/football/leagues/383.png,Israel,2026-05-19,,2026-05-19 17:30:00+00:00,Hapoel Beer Sheva,https://media.api-sports.io/football/teams/563.png,Maccabi Tel Aviv,https://media.api-sports.io/football/teams/604.png,0,0,NS,,,HOME DC,2.21,pro_tips
1540725,Ligat Ha'al,https://media.api-sports.io/football/leagues/383.png,Israel,2026-05-19,,2026-05-19 17:30:00+00:00,Maccabi Haifa,https://media.api-sports.io/football/teams/4195.png,Hapoel Tel Aviv,https://media.api-sports.io/football/teams/4501.png,0,0,NS,,,HOME DC,2.21,pro_tips
1545224,Ligue 2,https://media.api-sports.io/football/leagues/62.png,France,2026-05-19,,2026-05-19 18:30:00+00:00,Rouen,https://media.api-sports.io/football/teams/3221.png,Laval,https://media.api-sports.io/football/teams/433.png,0,0,NS,,,HOME DC,2.26,pro_tips
1379333,Premier League,https://media.api-sports.io/football/leagues/39.png,England,2026-05-19,,2026-05-19 19:15:00+00:00,Chelsea,https://media.api-sports.io/football/teams/49.png,Tottenham,https://media.api-sports.io/football/teams/47.png,0,0,NS,,,HOME DC,1.97,pro_tips
1544830,Division Intermedia,https://media.api-sports.io/football/leagues/251.png,Paraguay,2026-05-19,,2026-05-19 20:00:00+00:00,Independiente F.b.c.,https://media.api-sports.io/football/teams/1186.png,Deportivo Santani,https://media.api-sports.io/football/teams/1189.png,0,0,NS,,,HOME DC,1.89,pro_tips
1526146,Brasileiro U20 A,https://media.api-sports.io/football/leagues/740.png,Brazil,2026-05-19,,2026-05-19 21:00:00+00:00,Corinthians U20,https://media.api-sports.io/football/teams/12998.png,Palmeiras U20,https://media.api-sports.io/football/teams/12968.png,0,0,NS,,,AWAY DC,1.73,pro_tips
1535211,CONMEBOL Sudamericana,https://media.api-sports.io/football/leagues/11.png,World,2026-05-19,,2026-05-19 22:00:00+00:00,Atletico Torque,https://media.api-sports.io/football/teams/2365.png,Deportivo Riestra,https://media.api-sports.io/football/teams/476.png,0,0,NS,,,HOME DC,2.26,pro_tips
1535300,CONMEBOL Libertadores,https://media.api-sports.io/football/leagues/13.png,World,2026-05-19,,2026-05-19 22:00:00+00:00,Coquimbo Unido,https://media.api-sports.io/football/teams/2330.png,Deportes Tolima,https://media.api-sports.io/football/teams/1142.png,0,0,NS,,,HOME DC,2.26,pro_tips
1535303,CONMEBOL Libertadores,https://media.api-sports.io/football/leagues/13.png,World,2026-05-19,,2026-05-19 22:00:00+00:00,Fluminense,https://media.api-sports.io/football/teams/124.png,Bolívar,https://media.api-sports.io/football/teams/3702.png,0,0,NS,,,HOME DC,1.22,pro_tips
1535311,CONMEBOL Libertadores,https://media.api-sports.io/football/leagues/13.png,World,2026-05-19,,2026-05-19 22:00:00+00:00,Rosario Central,https://media.api-sports.io/football/teams/437.png,UCV,https://media.api-sports.io/football/teams/2840.png,0,0,NS,,,HOME DC,1.17,pro_tips
1537924,Serie D,https://media.api-sports.io/football/leagues/76.png,Brazil,2026-05-19,,2026-05-19 22:00:00+00:00,Independiente FSJ,https://media.api-sports.io/football/teams/12941.png,Azuriz,https://media.api-sports.io/football/teams/12939.png,0,0,NS,,,HOME DC,1.75,pro_tips
