FixtureID,home_score,away_score,Status
1320898,1,1,FT
1321358,1,3,FT
1321359,5,1,FT
1321362,0,1,FT
1350130,2,0,FT
1350137,4,1,FT
1350138,0,1,FT
1399792,1,1,FT
1399826,2,1,FT
1401799,3,0,FT
1402169,0,2,FT
1402379,1,0,FT
1402413,3,1,FT
1433991,2,0,FT
1434143,6,1,FT
1434146,5,2,FT
1481757,3,1,FT
1491148,1,1,FT
1491151,2,1,FT
1491159,0,1,FT
1491169,1,0,FT
1491172,2,1,FT
1498000,1,1,FT
1502262,1,3,FT
1502473,0,1,FT
1503006,0,0,FT
1503007,1,1,FT
1505037,1,1,FT
1507869,0,0,FT
1511732,1,0,FT
1514072,0,0,FT
1520615,0,0,FT
1527470,4,2,FT
1537209,1,0,FT
1537210,2,0,FT
1537212,0,4,FT
1537256,5,1,FT
1537365,1,2,FT
1537366,1,0,FT
1537367,4,0,FT
1537579,2,2,PEN
1537580,0,1,FT
